,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6001,-0.031069275,-0.341952857137855,-0.476160902,-0.548146141,-1.409449672,-1.538064337,-1.730230121,-1.638399701,-1.119897185,1.024412504,1.626037071,1.497305363,1.658027191,1.864908365,1.289766288,0.953614818,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6001,1.957911837,1.43222845844122,1.47375011,1.266477217,0.277959165,-0.364578888,-1.395042855,-0.750692335,-0.804183847,2.231387261,2.225819155,2.076519701,1.922149624,2.271611506,1.531957163,1.226790668,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6001,-4.788159935,0.685619455091306,0.536470056,0.368266846,0.237282243,-0.84189269,-1.59952695,-1.025913999,-0.94867747,1.418379474,2.243376499,2.466228854,2.5031893,2.26206069,1.87235247,1.603842911,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-0.175461343,0.533826311522484,0.270320293,0.232397326,0.025867351,-0.914887384,-1.297033886,-0.816651788,-1.017572099,2.28192314,3.033613261,3.004963659,2.795544576,2.664831402,2.298931663,2.069388455,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-1.846042445,-1.86894800783542,-0.235606244,-0.211850922,-0.280120414,-1.234171114,-1.324918181,-1.179229909,-1.458118554,2.144623339,2.890429959,3.281914591,3.183913747,2.874270975,2.536361706,2.325032376,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.152865007,-1.08597880086549,-0.135396241,-0.226624886,-0.364237138,-1.117094417,-1.220657871,-1.347057664,-1.368657045,0.174298683,2.307300904,2.945784998,2.923469017,2.857008591,2.689589276,2.205213759,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.039438244,-1.19592185307261,-0.091047549,-0.257711512,-0.28919285,-1.037340956,-1.186118746,-1.320981471,-1.408368512,-1.033797406,0.604618998,2.105021381,2.39062032,2.316318731,2.410972662,2.000771586,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.664421002,-0.0780338308487157,-1.602460306,-0.274024153,-0.253002761,-0.702303456,-1.161637068,-1.305268039,-1.549079973,0.816636538,-0.114436555,1.674608331,2.270625691,2.355109106,2.49438497,1.951582986,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,1.300810943,0.091181507921913,-1.060335074,-0.165742321,-0.25077007,-0.373109494,-1.159595129,-1.304186494,-1.548385602,0.428732399,-0.046293978,1.359848105,2.04994145,2.21092415,2.177352086,1.942569108,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6001,0.783708712,0.588071249382601,-1.140577588,-0.087456534,-0.251168841,-0.401976505,-1.1597878,-1.304442032,-1.54823392,0.751580033,0.975249594,0.864411975,1.946585632,2.209333184,2.244466715,2.042632473,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6001,-0.329486706,-0.290904212702201,-0.262810621,-1.651172084,-0.30281675,-0.34174695,-1.224185173,-1.297534673,-1.537475136,1.196516807,1.188773108,0.538951761,1.797142802,2.233548799,2.26568496,2.181390908,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6001,-0.960560317,-1.23880696210897,-1.180830458,-1.373298473,-0.335079357,-0.552706812,-1.252589474,-1.385267061,-1.653389261,1.591598775,1.703282778,1.038903534,1.861365097,2.311989459,2.535839466,2.514070794,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6001,0.224570153,-0.409835528957631,-0.420034543,-1.284088854,-0.257627891,-0.411028098,-1.047368185,-1.456862522,-1.541576957,-0.967142758,0.941482414,1.244091102,1.143920199,2.025896791,2.275244512,2.379936521,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6001,0.373702308,-0.0286525775783154,-0.096957534,-0.21208749,-1.402240925,-0.31758965,-0.72504695,-1.821717021,-1.279098016,-0.570112539,0.071572046,0.740217211,0.460341105,1.549177172,2.178836793,2.40158798,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
